Symbol,Company Name,ISIN Code,Industry
MRF,MRF Ltd.,INE883A01011,Automobile and Auto Components
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,INE774D01024,Financial Services
M&M,Mahindra & Mahindra Ltd.,INE101A01026,Automobile and Auto Components
MANKIND,Mankind Pharma Ltd.,INE634S01028,Healthcare
MARICO,Marico Ltd.,INE196A01026,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Ltd.,INE585B01010,Automobile and Auto Components
MFSL,Max Financial Services Ltd.,INE180A01020,Financial Services
MAXHEALTH,Max Healthcare Institute Ltd.,INE027H01010,Healthcare
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,INE249Z01020,Capital Goods
MOTILALOFS,Motilal Oswal Financial Services Ltd.,INE338I01027,Financial Services
MPHASIS,MphasiS Ltd.,INE356A01018,Information Technology
MUTHOOTFIN,Muthoot Finance Ltd.,INE414G01012,Financial Services
NHPC,NHPC Ltd.,INE848E01016,Power
NLCINDIA,NLC India Ltd.,INE589A01014,Power
NMDC,NMDC Ltd.,INE584A01023,Metals & Mining
NTPCGREEN,NTPC Green Energy Ltd.,INE0ONG01011,Power
NTPC,NTPC Ltd.,INE733E01010,Power
NATIONALUM,National Aluminium Co. Ltd.,INE139A01034,Metals & Mining
NESTLEIND,Nestle India Ltd.,INE239A01024,Fast Moving Consumer Goods
NAM-INDIA,Nippon Life India Asset Management Ltd.,INE298J01013,Financial Services
OBEROIRLTY,Oberoi Realty Ltd.,INE093I01010,Realty
ONGC,Oil & Natural Gas Corporation Ltd.,INE213A01029,Oil Gas & Consumable Fuels
OIL,Oil India Ltd.,INE274J01014,Oil Gas & Consumable Fuels
PAYTM,One 97 Communications Ltd.,INE982J01020,Financial Services
OFSS,Oracle Financial Services Software Ltd.,INE881D01027,Information Technology
POLICYBZR,PB Fintech Ltd.,INE417T01026,Financial Services
PIIND,PI Industries Ltd.,INE603J01030,Chemicals
PAGEIND,Page Industries Ltd.,INE761H01022,Textiles
PATANJALI,Patanjali Foods Ltd.,INE619A01035,Fast Moving Consumer Goods
PERSISTENT,Persistent Systems Ltd.,INE262H01021,Information Technology
PETRONET,Petronet LNG Ltd.,INE347G01014,Oil Gas & Consumable Fuels
PHOENIXLTD,Phoenix Mills Ltd.,INE211B01039,Realty
PIDILITIND,Pidilite Industries Ltd.,INE318A01026,Chemicals
POLYCAB,Polycab India Ltd.,INE455K01017,Capital Goods
PFC,Power Finance Corporation Ltd.,INE134E01011,Financial Services
POWERGRID,Power Grid Corporation of India Ltd.,INE752E01010,Power
PREMIERENE,Premier Energies Ltd.,INE0BS701011,Capital Goods
PRESTIGE,Prestige Estates Projects Ltd.,INE811K01011,Realty
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,INE179A01014,Fast Moving Consumer Goods
PNB,Punjab National Bank,INE160A01022,Financial Services
RECLTD,REC Ltd.,INE020B01018,Financial Services
RVNL,Rail Vikas Nigam Ltd.,INE415G01027,Construction
RELIANCE,Reliance Industries Ltd.,INE002A01018,Oil Gas & Consumable Fuels
SBICARD,SBI Cards and Payment Services Ltd.,INE018E01016,Financial Services
SBILIFE,SBI Life Insurance Company Ltd.,INE123W01016,Financial Services
SJVN,SJVN Ltd.,INE002L01015,Power
SRF,SRF Ltd.,INE647A01010,Chemicals
MOTHERSON,Samvardhana Motherson International Ltd.,INE775A01035,Automobile and Auto Components
SCHAEFFLER,Schaeffler India Ltd.,INE513A01022,Automobile and Auto Components
SHREECEM,Shree Cement Ltd.,INE070A01015,Construction Materials
SHRIRAMFIN,Shriram Finance Ltd.,INE721A01047,Financial Services
ENRIN,Siemens Energy India Ltd.,INE1NPP01017,Capital Goods
SIEMENS,Siemens Ltd.,INE003A01024,Capital Goods
SOLARINDS,Solar Industries India Ltd.,INE343H01029,Chemicals
SONACOMS,Sona BLW Precision Forgings Ltd.,INE073K01018,Automobile and Auto Components
SBIN,State Bank of India,INE062A01020,Financial Services
SAIL,Steel Authority of India Ltd.,INE114A01011,Metals & Mining
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,INE044A01036,Healthcare
SUNDARMFIN,Sundaram Finance Ltd.,INE660A01013,Financial Services
SUPREMEIND,Supreme Industries Ltd.,INE195A01028,Capital Goods
SUZLON,Suzlon Energy Ltd.,INE040H01021,Capital Goods
SWIGGY,Swiggy Ltd.,INE00H001014,Consumer Services
SYNGENE,Syngene International Ltd.,INE398R01022,Healthcare
TVSMOTOR,TVS Motor Company Ltd.,INE494B01023,Automobile and Auto Components
TATACOMM,Tata Communications Ltd.,INE151A01013,Telecommunication
TCS,Tata Consultancy Services Ltd.,INE467B01029,Information Technology
TATACONSUM,Tata Consumer Products Ltd.,INE192A01025,Fast Moving Consumer Goods
TATAELXSI,Tata Elxsi Ltd.,INE670A01012,Information Technology
TATAINVEST,Tata Investment Corporation Ltd.,INE672A01026,Financial Services
TMPV,Tata Motors Passenger Vehicles Ltd.,INE155A01022,Automobile and Auto Components
TATAPOWER,Tata Power Co. Ltd.,INE245A01021,Power
TATASTEEL,Tata Steel Ltd.,INE081A01020,Metals & Mining
TATATECH,Tata Technologies Ltd.,INE142M01025,Information Technology
TECHM,Tech Mahindra Ltd.,INE669C01036,Information Technology
NIACL,The New India Assurance Company Ltd.,INE470Y01017,Financial Services
THERMAX,Thermax Ltd.,INE152A01029,Capital Goods
TITAN,Titan Company Ltd.,INE280A01028,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Ltd.,INE685A01028,Healthcare
TORNTPOWER,Torrent Power Ltd.,INE813H01021,Power
TRENT,Trent Ltd.,INE849A01020,Consumer Services
TIINDIA,Tube Investments of India Ltd.,INE974X01010,Automobile and Auto Components
UCOBANK,UCO Bank,INE691A01018,Financial Services
UNOMINDA,UNO Minda Ltd.,INE405E01023,Automobile and Auto Components
UPL,UPL Ltd.,INE628A01036,Chemicals
ULTRACEMCO,UltraTech Cement Ltd.,INE481G01011,Construction Materials
UNIONBANK,Union Bank of India,INE692A01016,Financial Services
UBL,United Breweries Ltd.,INE686F01025,Fast Moving Consumer Goods
UNITDSPR,United Spirits Ltd.,INE854D01024,Fast Moving Consumer Goods
VBL,Varun Beverages Ltd.,INE200M01039,Fast Moving Consumer Goods
VEDL,Vedanta Ltd.,INE205A01025,Metals & Mining
VMM,Vishal Mega Mart Ltd.,INE01EA01019,Consumer Services
IDEA,Vodafone Idea Ltd.,INE669E01016,Telecommunication
VOLTAS,Voltas Ltd.,INE226A01021,Consumer Durables
WAAREEENER,Waaree Energies Ltd.,INE377N01017,Capital Goods
WIPRO,Wipro Ltd.,INE075A01022,Information Technology
YESBANK,Yes Bank Ltd.,INE528G01035,Financial Services
ZYDUSLIFE,Zydus Lifesciences Ltd.,INE010B01027,Healthcare
